year,origin,destination,male-germans,female-germans,all-germans,male-foreigners,female-foreigners,all-foreigners,all-males,all-females,all
2000,Nordrhein-Westfalen,Bayern,8189,7932,16121,1723,1235,2958,9912,9167,19079
2000,Nordrhein-Westfalen,Saarland,529,547,1076,136,128,264,665,675,1340
2000,Nordrhein-Westfalen,Berlin,5105,4578,9683,875,781,1656,5980,5359,11339
2000,Nordrhein-Westfalen,Brandenburg,1635,1531,3166,91,83,174,1726,1614,3340
2000,Nordrhein-Westfalen,Mecklenburg-Vorpommern,943,884,1827,57,27,84,1000,911,1911
2000,Nordrhein-Westfalen,Sachsen,1854,1645,3499,243,104,347,2097,1749,3846
2000,Nordrhein-Westfalen,Sachsen-Anhalt,1228,1073,2301,123,74,197,1351,1147,2498
2000,Nordrhein-Westfalen,Thueringen,999,961,1960,139,53,192,1138,1014,2152
2000,Nordrhein-Westfalen,Insgesamt,62033,61512,123545,10871,7678,18549,72904,69190,142094
2000,Hessen,Schleswig-Holstein,1046,1155,2201,101,78,179,1147,1233,2380
2000,Hessen,Hamburg,1007,1000,2007,197,150,347,1204,1150,2354
2000,Hessen,Niedersachsen,3437,3494,6931,480,355,835,3917,3849,7766
2000,Hessen,Bremen,256,236,492,81,48,129,337,284,621
2000,Hessen,Nordrhein-Westfalen,6494,6650,13144,1854,1149,3003,8348,7799,16147
2000,Hessen,Hessen,0,0,0,0,0,0,0,0,0
2000,Hessen,Rheinland-Pfalz,5724,5854,11578,1391,978,2369,7115,6832,13947
2000,Hessen,Baden-Wuerttemberg,5977,6218,12195,1616,1096,2712,7593,7314,14907
2000,Hessen,Bayern,5999,6028,12027,1425,935,2360,7424,6963,14387
2000,Hessen,Saarland,395,347,742,60,56,116,455,403,858
2000,Hessen,Berlin,1803,1705,3508,297,242,539,2100,1947,4047
2000,Hessen,Brandenburg,509,516,1025,55,35,90,564,551,1115
2000,Hessen,Mecklenburg-Vorpommern,285,281,566,21,8,29,306,289,595
2000,Hessen,Sachsen,980,887,1867,117,83,200,1097,970,2067
2000,Hessen,Sachsen-Anhalt,430,444,874,80,39,119,510,483,993
2000,Hessen,Thueringen,1364,1336,2700,103,55,158,1467,1391,2858
2000,Hessen,Insgesamt,35706,36151,71857,7878,5307,13185,43584,41458,85042
2000,Rheinland-Pfalz,Schleswig-Holstein,470,484,954,47,40,87,517,524,1041
2000,Rheinland-Pfalz,Hamburg,331,315,646,59,54,113,390,369,759
2000,Rheinland-Pfalz,Niedersachsen,1210,1269,2479,147,139,286,1357,1408,2765
